XUTM,YUTM,EC 0-0.25 m
507695.50000,6082877.00000,2.10474
507695.93750,6082878.00000,2.28607
507750.06250,6082867.00000,1.63394
507689.59375,6082875.50000,1.95718
507691.40625,6082875.00000,1.92214
507691.68750,6082877.00000,2.13032
507692.62500,6082877.50000,2.19673
507685.34375,6082875.50000,1.94464
507688.62500,6082875.50000,1.95819
507755.31250,6082867.00000,1.85637
507760.37500,6082881.00000,2.23949
507759.62500,6082879.00000,2.22121
507759.25000,6082878.00000,2.19163
507760.68750,6082881.50000,2.25326
507751.06250,6082867.00000,1.72124
507754.34375,6082867.50000,1.87560
507760.00000,6082880.00000,2.28524
507753.34375,6082867.50000,1.84511
507756.21875,6082871.50000,2.00016
507754.93750,6082868.50000,1.90058
507737.75000,6082870.00000,1.34477
507738.31250,6082870.50000,1.39025
507739.31250,6082870.50000,1.39772
507737.28125,6082870.50000,1.37411
507694.46875,6082877.00000,2.07133
507693.00000,6082877.50000,2.24898
507694.00000,6082877.50000,2.22600
507701.34375,6082876.00000,1.70154
507700.59375,6082876.00000,1.76520
507716.40625,6082876.00000,1.95508
507716.09375,6082875.50000,1.78188
507718.75000,6082876.50000,2.18613
507716.68750,6082877.00000,2.15996
507715.93750,6082875.50000,1.69356
507715.46875,6082874.50000,1.60640
507715.18750,6082873.00000,1.48038
507714.18750,6082873.50000,1.44176
507714.46875,6082874.00000,1.50023
507715.31250,6082874.50000,1.57707
507709.56250,6082875.50000,1.61442
507709.18750,6082876.00000,1.63535
507708.65625,6082875.50000,1.58317
507708.25000,6082875.50000,1.61391
507707.87500,6082876.00000,1.66405
507710.40625,6082875.50000,1.56002
507710.87500,6082874.50000,1.50026
507710.96875,6082874.50000,1.46749
507711.87500,6082875.00000,1.47907
507711.75000,6082875.00000,1.53147
507712.43750,6082876.00000,1.64567
507713.50000,6082874.00000,1.46858
507713.78125,6082874.50000,1.50694
507713.90625,6082875.00000,1.60229
507720.62500,6082878.00000,2.82763
507721.03125,6082879.00000,2.95075
507720.50000,6082878.00000,2.67766
507720.40625,6082877.00000,2.53044
507727.56250,6082879.00000,3.14927
507722.78125,6082879.50000,3.09297
507722.62500,6082880.00000,3.29200
